Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec
14974, 9567, 358.723, 350.718, 21150.000, 20591.082
14975, 9568, 671.238, 658.230, 46398.000, 45544.925
14976, 9569, 220.818, 215.722, 13062.000, 12636.980
14977, 9570, 451.463, 441.954, 29991.518, 29343.089
14980, 9573, 632.422, 619.438, 41992.000, 41155.263
14981, 9574, 688.321, 674.122, 44630.000, 43754.842
14985, 9575, 237.992, 232.149, 13047.000, 12690.909
14989, 9579, 175.381, 170.933, 9606.009, 9169.706
15007, 9585, 686.021, 670.956, 43005.000, 42106.252
15015, 9593, 604.566, 591.776, 38740.000, 37518.841
15016, 9594, 686.332, 672.156, 45477.000, 44559.629
15023, 9602, 180.997, 176.394, 10106.000, 9496.023
15024, 9603, 730.858, 715.453, 47088.000, 46106.119
15025, 9604, 382.196, 372.789, 20952.854, 20288.560
15031, 9605, 773.628, 757.712, 51432.000, 50410.441
15032, 9606, 780.449, 764.328, 51855.000, 50786.848
15034, 9608, 380.808, 371.192, 20279.309, 19614.554
15050, 9609, 526.177, 513.716, 29042.387, 28214.873
15051, 9610, 753.039, 737.132, 48893.000, 47885.299
15052, 9611, 689.358, 674.587, 43854.000, 42772.825
15055, 9614, 730.224, 715.111, 48366.000, 47386.206
15059, 9618, 414.683, 404.852, 22439.000, 21916.710
15269, 9653, 12.838, 12.570, 42777.000, 41984.646
15270, 9654, 379.869, 370.860, 21784.000, 21060.328
15287, 9659, 221.270, 216.623, 13878.000, 13571.453
15289, 9661, 36.352, 35.577, 2615.000, 2527.996
15290, 9662, 745.812, 729.427, 46394.000, 45387.534
15387, 9663, 615.214, 601.574, 37718.000, 36912.627
15388, 9664, 744.636, 728.826, 48072.000, 46938.848
15390, 9666, 672.664, 657.638, 40641.000, 39751.328
15391, 9667, 540.666, 526.966, 28377.000, 27487.147
15394, 9670, 830.900, 812.646, 51994.000, 50874.401
15396, 9672, 57.242, 55.817, 3797.000, 3399.915
15398, 9674, 166.232, 161.871, 8888.000, 8510.322
15415, 9677, 326.856, 317.769, 16796.000, 16293.396
15418, 9680, 191.247, 185.929, 10032.000, 9710.838
15421, 9683, 2.019, 1.974, 418.000, 141.143
15422, 9684, 462.784, 450.319, 24235.348, 23414.727
15424, 9686, 80.826, 78.703, 4695.000, 4484.709
15425, 9687, 799.646, 781.325, 51707.000, 50240.542
15429, 9691, 1056.548, 1034.760, 81478.000, 79964.562
15432, 9694, 715.991, 699.130, 41720.000, 40664.149
15434, 9696, 629.619, 614.290, 35423.000, 34430.117
15438, 9700, 777.450, 759.770, 47725.000, 46653.821
15439, 9701, 395.677, 385.067, 20094.000, 19561.911
15443, 9705, 128.651, 125.276, 6998.000, 6803.288
15445, 9707, 829.960, 811.060, 51332.000, 50206.282
15446, 9708, 903.043, 883.312, 59847.000, 58644.304
15678, 9803, 7.909, 7.889, 16080.000, 15965.579
15679, 9804, 3.622, 3.613, 8044.000, 7974.458
15681, 9806, 49.319, 49.011, 16457.033, 16313.624
15683, 9808, 230.721, 227.334, 22457.000, 22131.321
15685, 9810, 579.861, 565.471, 33002.547, 32197.433
15687, 9812, 835.576, 816.431, 50429.000, 49291.694
15688, 9813, 328.814, 319.741, 16330.000, 15819.100
15691, 9816, 112.367, 109.291, 6036.000, 5701.668
15694, 9819, 19.614, 19.475, 56702.091, 56251.303
15723, 9832, 159.592, 155.469, 8652.000, 8406.297
15749, 9838, 178.024, 173.336, 9522.000, 9096.250
15751, 9840, 717.278, 699.882, 40172.000, 39182.331
15754, 9842, 921.005, 899.738, 52810.918, 51589.709
15755, 9843, 298.034, 290.718, 16515.000, 16029.832
15758, 9846, 159.808, 155.690, 8672.000, 8203.186
15762, 9848, 327.767, 319.384, 17179.000, 16565.294
15763, 9849, 954.398, 932.357, 54988.000, 53723.271
15765, 9851, 23.516, 22.999, 1885.760, 1683.803
15766, 9852, 772.802, 754.414, 42373.000, 41294.924
15782, 9857, 160.636, 156.682, 8791.000, 8481.580
15784, 9859, 48.125, 47.072, 3124.000, 3008.981
15785, 9860, 580.439, 565.526, 30026.000, 28972.116
15786, 9861, 834.472, 815.750, 49970.000, 48837.519
15787, 9862, 314.683, 306.751, 16990.000, 16188.268
15789, 9864, 270.605, 263.782, 14442.000, 14050.667
15790, 9865, 211.353, 206.069, 11504.000, 11000.296
15814, 9867, 23.625, 23.185, 2067.727, 1790.334
15816, 9869, 344.298, 335.566, 17822.000, 17303.272
15818, 9871, 187.808, 183.043, 9991.729, 9586.476
15820, 9873, 387.052, 377.247, 20159.000, 19485.379
15838, 9877, 869.654, 850.979, 53587.000, 52447.279
15839, 9878, 727.348, 709.390, 38538.000, 37332.496
15840, 9879, 211.220, 205.871, 11283.000, 10823.420
15844, 9883, 256.144, 249.627, 13414.000, 12901.551
15849, 9885, 33.722, 33.027, 2154.000, 2106.021
15850, 9886, 338.835, 331.212, 17497.000, 17042.404
15868, 9891, 7.401, 7.369, 2824.280, 2608.271
15873, 9895, 39.049, 38.876, 12821.000, 12715.168
15874, 9896, 853.956, 836.484, 48792.000, 47793.041
15877, 9899, 865.258, 847.346, 48623.000, 47592.240
15878, 9900, 867.663, 849.933, 49951.000, 48926.539
15882, 9904, 42.182, 41.298, 2719.000, 2539.673
15883, 9905, 892.342, 873.666, 50269.000, 49207.513
15884, 9906, 538.309, 525.941, 27420.289, 26637.380
15902, 9910, 856.024, 838.278, 48550.432, 47256.733
15903, 9911, 885.172, 867.181, 51056.000, 50008.205
15904, 9912, 123.394, 120.693, 6736.000, 6550.944
15909, 9917, 747.039, 730.756, 40009.330, 38969.637
15912, 9920, 891.046, 872.931, 51672.000, 50619.738
15913, 9921, 922.317, 903.973, 54829.000, 53743.199
15915, 9923, 944.743, 925.286, 53873.000, 52800.541
15917, 9925, 77.453, 75.737, 4479.592, 4200.227
15918, 9926, 873.662, 855.274, 48289.000, 47257.660
15919, 9927, 262.855, 256.883, 13740.000, 13392.197
15945, 9931, 904.136, 885.796, 51332.000, 50268.036
15946, 9932, 340.021, 332.256, 17398.000, 16817.026
15948, 9934, 128.272, 125.371, 6879.000, 6689.156
15949, 9935, 295.953, 289.137, 15143.454, 14629.191
15950, 9936, 217.623, 212.653, 11212.000, 10899.663
15951, 9937, 791.471, 774.476, 42589.000, 41576.282
15953, 9939, 837.499, 819.438, 45272.600, 44078.616
15955, 9941, 617.423, 603.254, 31268.000, 30492.777
15956, 9942, 676.871, 661.612, 34711.000, 33911.393
15957, 9943, 788.506, 771.274, 41905.000, 41005.238
15961, 9945, 792.486, 774.883, 41267.000, 40326.262
15963, 9947, 541.953, 529.271, 26834.455, 25987.505
15967, 9951, 870.043, 851.284, 46866.000, 45835.557
15975, 9960, 8.150, 8.010, 858.000, 727.880
15977, 9962, 303.773, 296.606, 15264.000, 14756.013
15994, 9967, 811.237, 792.992, 42188.546, 41011.497
15996, 9969, 932.793, 912.931, 51604.000, 50501.756
15997, 9970, 172.250, 168.277, 9047.720, 8682.849
15998, 9971, 649.171, 633.847, 32182.000, 31397.172
16000, 9973, 913.254, 893.732, 50167.000, 49087.283
16001, 9974, 952.286, 932.155, 53332.000, 52144.232
16018, 9978, 795.580, 777.475, 40900.000, 39920.451
16022, 9982, 881.009, 861.961, 48262.000, 47211.280
16023, 9983, 872.241, 853.046, 46809.000, 45762.773
16024, 9984, 373.986, 365.027, 18490.414, 17869.989
16028, 9986, 931.026, 911.015, 51216.000, 50110.359
16042, 9987, 909.930, 890.211, 49258.000, 48180.085
16043, 9988, 772.429, 754.042, 37889.000, 36952.597
16057, 9989, 827.058, 808.674, 43636.460, 42643.800
16060, 9992, 13.132, 12.895, 918.000, 872.349
