Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec
20554, 11181, 81.908, 80.414, 4366.000, 4229.928
20556, 11183, 176.816, 173.499, 8717.000, 8477.416
20562, 11189, 32.790, 32.487, 3410.000, 3336.875
20563, 11190, 666.856, 655.915, 34884.000, 34287.843
20564, 11191, 630.275, 618.663, 29798.000, 29238.412
20566, 11193, 251.294, 246.683, 12722.000, 12467.637
20568, 11196, 232.721, 228.545, 12120.970, 11832.904
20569, 11196, 664.769, 653.241, 32752.849, 32047.275
20570, 11197, 636.587, 625.285, 31386.000, 30798.001
20591, 11200, 635.169, 624.523, 32453.000, 31882.625
20592, 11201, 804.895, 791.313, 41653.000, 40931.639
20593, 11202, 842.133, 827.574, 42007.000, 41264.416
20594, 11203, 335.877, 329.646, 16444.000, 16062.821
20595, 11205, 803.966, 789.700, 39622.000, 38903.955
20598, 11208, 773.150, 759.488, 37308.000, 36623.221
20599, 11209, 848.726, 833.910, 41948.000, 41216.520
20600, 11210, 907.337, 891.561, 44357.000, 43554.963
20601, 11211, 918.849, 903.328, 47022.000, 46209.389
20602, 11212, 603.826, 592.465, 27787.000, 27239.442
20604, 11214, 85.042, 83.489, 4198.000, 4090.503
20608, 11217, 866.374, 851.221, 42777.000, 42009.610
20610, 11218, 10.759, 10.590, 675.000, 613.285
20614, 11220, 900.384, 884.758, 44427.000, 43655.585
20615, 11221, 901.277, 885.965, 45781.000, 45012.592
20616, 11222, 873.034, 858.107, 43714.000, 42967.937
20617, 11223, 938.835, 923.416, 49538.000, 48716.139
20620, 11226, 499.960, 490.520, 23110.000, 22616.798
20621, 11227, 959.911, 944.133, 50633.000, 49806.587
20632, 11229, 983.148, 966.973, 51521.000, 50663.064
20633, 11230, 959.067, 941.577, 46111.000, 45246.803
20667, 11236, 26.289, 26.184, 7300.000, 7183.701
20668, 11237, 791.153, 778.043, 40225.000, 39543.719
20675, 11238, 967.678, 952.059, 49789.000, 48959.360
20677, 11239, 716.808, 704.320, 34550.000, 33956.426
